158	Hundreds of Palestinians flee floods in Gaza as Israel opens dams	0
1923	Spider burrowed through tourist's stomach and up into his chest	1
154	'Nasa Confirms Earth Will Experience 6 Days of Total Darkness in December' Fake News Story Goes Viral	0
1739	Banksy 'Arrested & Real Identity Revealed' Is The Same Hoax From Last Year	0
1468	Woman detained in Lebanon is not al-Baghdadi's wife, Iraq says	0
295	No, Robert Plant Didn’t Rip Up an $800 Million Contract	0
1014	NET Extra: Back-from-the-dead Catholic priest claims God is a female	0
633	Rumor debunked: RoboCop-style robots are not patrolling Microsoft's campus	0
2161	Fisherman lands 19 STONE catfish which could be biggest in world to be hooked	0
1592	Student accidentally sets college on fire during fireworks proposal	0
1905	Pope Francis turns out not to have made pets in heaven comment	1
759	Macaulay Culkin Hasn’t Died Despite What Everyone Is Saying On Facebook	0
965	No, it's not Tiger Woods selling an island in Lake Mälaren	1
2441	Indian civil servant sacked 'after 24-year sickie'	0
1089	Soldier, Gunman Killed In Shooting Incident Near Canadian Parliament	0
1315	Mystery woman behind the 'richest hands on the internet' revealed: Former pornstar 'makes $5m a year unwrapping Disney toys on YouTube'	0
1818	New Audio Reveals Pause in Gunfire When Michael Brown Was Shot: Attorney	0
1958	11 Tripoli Planes Still Missing, Sparks 9/11 Concerns	0
2115	India Rape Crisis Sees Mob Castrate Alleged Sex Attacker in Shocking Scenes	0
949	Met police denies reports of Banksy arrest	0
488	Video: Marine saved by helmet after Taliban sniper attack	0
2064	Vogue’s Rat Infestation: Disturbing New Details	0
313	ADVISORY-Islamist rebel leader killed in U.S. strike - Somali government	1
2046	Video: Marine survives Taliban sniper headshot thanks to helmet	0
975	Weather Reporter Caught Writing His Name In The Snow Was NOT Ready To Go On Camera (UPDATED)	1
1547	Lego letter to parents in 1974 on gender equality still resonates 40 years on	0
2061	After Giving A Homeless Man $100, This Guy Secretly Filmed Him...	0
2206	British hostage David Haines beheaded by Islamic State terrorists	0
1058	Woman, Ting Su, Finds Husband Cheating With Her Own Twin, Gets Spectacular Revenge	0
666	Jeh Johnson: Politicians Shouldn't 'Feed The Flames Of Fear' Over ISIS, Ebola	0
1580	#ISIS beheads photojournalist James Wright Foley in a massage to US to end its intervention in #Iraq.	0
1403	Comcast blocks Tor	1
2337	Lebanon detains wife and son of Al-Baghdadi	1
1321	Spider Burrows Into Australian Man's Appendix Scar (VIDEO)	1
1943	Despite no Ebola case in Kansas City, the rumor goes viral	0
1148	Bugatti Veyron Vandalized With Penis Graffiti? Viral Photo Isn’t What It Seems	0
1951	Man who skipped work for 24 years is finally fired	0
1349	Michael Phelps’ alleged girlfriend says she was born intersex	0
2475	Scientists Doubt That Meteor Caused Crater In Nicaragua	0
2367	DHS Rebuffs Congressman’s Claim ISIS Infiltrating Southern Border	1
969	URGENT: ISIS kills 300 Iraqi soldiers by chlorine gas attack in Saqlawiyah	0
2139	Boko Haram ceasefire ignored as violence flares in Borno state	1
1846	Batman Set To Play Steve Jobs In Upcoming Biopic	1
2407	No, that high school kid didn't make $72 million trading stocks	0
1084	Pentagon confirms al-Shabab leader killed in airstrike in Somalia	0
1958	Pictured: Libyan Islamist rebels pose with planes seized from Tripoli airport as U.S. officials warn they could be used to carry out terrorist attack on 9/11 anniversary	0
1627	Mum Offers to Sell Twin Boy to Save Twin Girl	0
1949	Cold Turkey	0
2156	Soldier shot at War Memorial; multiple shots fired in Parliament	0
986	Bali spider burrows under Aussie’s chest	1
1540	Boko Haram 'ceasefire' doubts after attacks reported in Nigeria	1
1374	ISIS executioner 'Jihadi John' identified as Mohammed Emwazi	0
1849	God Is A Woman – Resurrected Father Narated	0
879	Matt Taibbi on leave of absence from First Look Media	0
1213	Managua explosion not a meteorite, NASA suggests	0
2305	What One Homeless Man Does with $100 Will Astonish You (VIDEO)	0
1860	No, a spider (probably) didn't crawl through a man's body for several days	1
2225	North Korean leader Kim Jong-un to open restaurant in Scotland	1
1089	Breaking: Soldier shot at National War Memorial in Ottawa	0
1959	Lynch mob chop man's penis off after catching him allegedly trying to rape teenager	0
458	Oscar winner Christian Bale to play Steve Jobs in upcoming biopic	0
1380	Ottawa shooting: Slain soldier named as Nathan Cirillo while suspect identified as Michael Zehaf-Bibeau	0
1008	Priest who died for 48 minutes says he met God and she’s a woman	0
2076	The baby from Teletubbies reveals herself	0
2424	Her Majesty’s magic mushrooms	0
2450	#ISIS beheads photojournalist James Wright Foley in a massage to US to end its intervention in #Iraq.	0
2524	"Islamic State, in video titled ""A Message to America,"" beheads American journalist James Wright Foley who was kidnapped in 2012"	0
1045	WTC rats scare off Anna Wintour	0
2326	Macaulay Culkin Dead: Internet Death Hoax Claims Actor Found Dead In Apartment	0
1594	Explosion reported near the Nicaraguan capital attributed to meteorite impact, but experts, including NASA, cast doubt on claims	0
343	No, Saudi TV Didn't Blur Out Michelle Obama's Face When the President Met King Salman	0
2215	Real-life Magneto boy 'becomes living magnet' after getting massive electric shock from street lamp	0
1831	Big Bank Hank, US rapper and Sugarhill Gang founder member, dies at 57	0
2375	No, that broken pencil illustration isn't by Banksy	0
321	A soldier has been shot at Canada’s war memorial just steps away from the nation’s parliament	0
2043	Comfort eating? Chinese woman, 26, spends an entire WEEK in KFC after being dumped by boyfriend	0
2067	'American bombing had signed my death certificate': Missing US journalist James Wright Foley goes unflinching to his death as ISIS behead him in horrific video, as a warning to Obama	0
1380	RCMP release security footage of Michael Zehaf Bibeau during attack, say he shot soldier in back	0
2134	Government fires employee who skipped work for 24 years	0
755	Christian Bale Exits Steve Jobs Movie (Exclusive)	0
1485	Pentagon: ISIS Got U.S. Weapons Package	0
2450	ISIS Beheads American Journalist	0
1789	The Chinese Guide to Avoiding a Bad English Name	0
1400	What was fake on the Internet this week: Obama’s peace prize, pumpkin-spice condoms and insane winter snow	0
1799	Jilted lover chops off his penis after girlfriend dumps him	0
458	That Was Fast: Christian Bale Bails on Steve Jobs Biopic	1
1554	Michael Zehaf-Bibeau, slain Ottawa shooter, had criminal record in Quebec, B.C.	0
1742	Michelle Obama’s face blurred by Saudi state television	1
2156	Breaking: Soldier shot at National War Memorial in Ottawa	0
999	Seth Rogen to play Steve Wozniak alongside Christian Bale's Steve Jobs	0
1658	Obama, Outraged Over Beheading, Vows to Stay on Course	0
2060	Does ISIS Have Ebola? Probably Not! Media Reports It Anyway	0
966	Meteorite Strikes Nicaraguan Capital, Creates 16-Foot-Deep Crater	0
1545	Macaulay Culkin NOT Dead: Facebook, Twitter Death Hoax Goes Viral	0
862	Michael Phelps' girlfriend was born male but did not tell swimmer about her past	0
2351	Sugarhill Gang rapper Big Bank Hank dead at 57	0
2362	Calm down everyone, Banksy hasn't been arrested: 9 clues that it's a hoax	0
1764	Jeh Johnson shoots down Duncan Hunter's assertion IS is entering U.S. via Mexico	0
26	Gill Rosenberg, Canadian-Israeli Woman Feared Kidnapped By ISIS, Says She's Safe	0
1739	Banksy arrest hoax: US website claims street artist caught in Watford	0
1897	Mystery man slaps shoppers around head for sneezing	0
1846	Christian Bale passes on role of Steve Jobs, actor reportedly felt he wasn't right for part	0
2281	Ottawa Shooting: Soldier Shot at Canada's National War Memorial	0
830	Lynch mob use butcher's meat cleaver to castrate rapist they caught attacking teenage girl in alleyway in Indian city	0
2326	MACAULAY CULKIN IS THE LATEST VICTIM OF A CELEBRITY DEATH HOAX — AND THESE 9 STARS KNOW EXACTLY HOW HE FEELS!	0
1832	Sorry, Fido. Pope Francis did NOT say our pets are going to heaven	0
1041	The iPhone 6 'Hairgate' Is Not a Thing	0
666	ISIS Border Crisis: DHS Chief Says Terrorists Not Entering US Through Mexico	0
1336	James Foley remembered as 'brave and tireless' journalist	0
1637	Sugarhill Gang rapper Big Bank Hank dies aged 57	1
1517	Man chops off his own penis after girlfriend told him he was no good in bed	0
2468	Once Again, The Banksy 'Arrest' Is A Giant Hoax. Repeat: A Hoax.	0
1849	Dead for 48 minutes, this Catholic Priest claims God is female	0
2360	Watch US Marine get shot in HEAD by Taliban sniper - and live to tell tale	0
2386	ISIS Beheads Kidnapped Photojournalist James Wright Foley in Horrific Video Message to the U.S.	0
2374	US confirms death of Somalia terror group leader	0
1797	Bali spider burrows under Aussie’s chest	1
1263	Wife and child of Islamic State leader Baghdadi held in Lebanon	1
18	Italian fisherman catches monstrous 280-pound catfish	0
205	ISIL Beheads American Photojournalist in Iraq	0
343	Saudis Say Michelle Obama Not Blurred on TV	0
454	Report: Christian Bale Just Bailed on the Steve Jobs Movie	0
741	Chugging eggnog at office party lands man in hospital	0
1938	Elderly Woman Arrested for Kidnapping Neighbor's Cats & Making Fur Coats	0
756	Israeli-Canadian Woman 'Captured' By ISIS Says She Is 'Safe And Secure'	0
2055	Pumpkin Spice Condoms, And 6 Other Flavors That Aren’t Happening	0
650	Lynch Mob Castrates Alleged Rapist In Rajasthan	0
1862	Israeli Canadian fighting ISIS posts on Facebook: I'm safe and secure	1
1182	ISIS Video Shows Execution of David Cawthorne Haines, British Aid Worker	0
961	Nasa questions whether crater in Nicaragua caused by meteorite	1
1544	Dog abandoned at Ayr station with belongings in suitcase	0
1740	US drones hunt Isis leader in Syria	0
2061	Prankster Gives Homeless Man $100, Secretly Follows Him And Learns He Buys Food For Others	0
1375	Tee-off in your own putting paradise: Swedish luxury island owned by Tiger Woods up for sale - and it comes with a villa, a hot tub and a lodge	0
2498	In Vogue vs Rats War, the Rats Are Winning	0
2257	Founding Fathers-Era Time Capsule Found in Boston	0
1795	Mexico Says Missing Students Not Found In First Mass Graves	0
1339	Tiger Woods is not on suspension for failing a drug test, his agent and a PGA official say	0
403	NASA: Viral news on days of darkness in December is hoax	1
1640	WATCH: Stan Beaton cries tears of joy when phone engineers find treasured voicemail recording of his late wife he thought was lost forever	0
2024	No, Banksy Didn't Create That 'Charlie Hebdo' Tribute Cartoon, But That Doesn't Mean You Can't Appreciate It	0
1627	Shocking picture shows mother trying to sell her own son to pay for twin daughter's cancer treatment	0
1752	Macaulay Culkin Victim of Another Online Death Hoax	0
2414	Woman Dumped by Boyfriend Spends Entire Week Mourning at KFC	0
1022	Angry mob hacks off alleged rapist's genitals with meat cleaver after dragging him into butchers	0
2067	ISLAMIC STATE BEHEADS MISSING AMERICAN JOURNALIST JAMES WRIGHT FOLEY	0
1438	No, a bird didn't poop on Vladimir Putin	0
1407	Dead for 48 minutes, this Catholic Priest claims God is female	0
2052	Teen Makes $72 Million on the Stock Market	1
830	Angry mob chops off man's genitals with butcher’s knife for alleged rape attempt	0
2496	GRAPHIC CONTENT: Girl sneers at man's tiny penis so he CHOPS IT OFF and bins it	0
1541	Constipated goldfish operated on by North Walsham vet	0
824	Sugarhill Gang Rapper ‘Big Bank Hank’ Dies at 57	0
1970	Ottawa gunman identified as 32-year-old Michael Zehaf-Bibeau	0
2177	Comcast Is Threatening To Cut Off Customers Who Use Tor, The Web Browser For Criminals	1
1242	"Batmobile Stolen From ""Batman v Superman: Dawn of Justice"" Set, Zack Snyder Knows Who Did It"	1
1594	Small Meteorite Strikes in Nicaragua's Capital City of Managua	1
2042	Web of confusion as scientists cast doubt on man's claims that a spider burrowed into his stomach through his SCAR	0
2278	"BREAKING: ""Brat Pack"" Judd Nelson Found Dead in Los Angeles Condo"	1
2475	Small Meteorite Hits Managua	1
1384	Crank-Boosting Behind Top Apps in App Store	0
2379	How did a Texas plumber's truck end up with Syrian rebels? (+video)	0
1976	Israeli-Canadian Woman 'Captured' By ISIS Says She Is 'Safe And Secure'	0
1949	More American Weapons for ISIS	0
1410	Man cuts off manhood, throws it in the bin, after girlfriend leaves over small penis	0
2523	Hundreds of dog-lovers from around the world offer home to pet abandoned at the railway station with a suitcase containing his pillow, toy, bowl and favourite food	0
2240	Op-Ed: Hoax – Priest who never existed claims he died, saw female God	1
623	Ann Arbor pizza delivery driver surprised with $2,000 tip	0
2341	Macaulay Culkin Dead: Actor Once Again Victim Of Death Hoax	0
1019	Who Should Play Steve Jobs Now That Christian Bale Quit?	1
2450	ISIS beheads American photo-journalist James Wright Foley, threatens more to come	0
1592	The Unluckiest Man In The World Set His College On Fire With A Fireworks Marriage Proposal	0
829	CPWD official sacked for absence from duty for 25 years	0
1412	Nun gives birth to surprise baby after complaining of stomach pains	0
1890	Homeland Security: No ISIL fighters on U.S. border	0
1965	Hundreds of Palestinians flee as Israel opens dams into Gaza Valley	1
1752	Macaulay Culkin Dead? Another Death Hoax Circulates On Facebook	0
1965	The “Flood Libel” Propagandists of 2015	0
1263	Wife Of ISIS Leader Abu Bakr al-Baghdadi Detained In Lebanon	1
1966	James Foley remembered as 'brave and tireless' journalist	0
